input,instruction,output
"paragraph:  The United States Department of State (DOS), often referred to as the State Department, is the United States federal executive department that advises the President and leads the country in foreign policy issues. Equivalent to the foreign ministry of other countries, the State Department is responsible for the international relations of the United States, negotiates treaties and agreements with foreign entities, and represents the United States at the United Nations. The Department was created in 1789 and was the first executive department established. \\The Department is headquartered in the Harry S Truman Building located at 2201 C Street, NW, a few blocks away from the White House in the Foggy Bottom neighborhood of Washington, D.C. The Department operates the diplomatic missions of the United States abroad and is responsible for implementing the foreign policy of the United States and U.S. diplomacy efforts. The Department is also the depository for more than 200 multilateral treaties. \\The Department is led by the Secretary of State, who is nominated by the President and confirmed by the Senate and is a member of the Cabinet. The current Secretary of State is Rex Tillerson, beginning 1 February 2017. The Secretary of State is the first Cabinet official in the order of precedence and in the presidential line of succession, after the President pro tempore of the Senate.",Answer the following question from the paragraph : Question: Who is the head of the department?,Rex Tillerson
"paragraph:  The Organization of American States, or the OAS or OEA, is a continental organization founded on 30 April 1948, for the purposes of regional solidarity and cooperation among its member states. Headquartered in the United States capital Washington, D.C., the OAS's members are the 35 independent states of the Americas. \\As of 26 May 2015, the Secretary General of OAS is Luis Almagro. \\The notion of an international union in the New World was first put forward by Simón Bolívar who, at the 1826 Congress of Panama (still being part of Colombia), proposed creating a league of American republics, with a common military, a mutual defense pact, and a supranational parliamentary assembly. This meeting was attended by representatives of Gran Colombia (comprising the modern-day countries of Colombia, Ecuador, Panama and Venezuela), Peru, Bolivia, The United Provinces of Central America, and Mexico but the grandly titled ""Treaty of Union, League, and Perpetual Confederation"" was ultimately ratified only by Gran Colombia. Bolívar's dream soon floundered with civil war in Gran Colombia, the disintegration of Central America, and the emergence of national rather than New World outlooks in the newly independent American republics. Bolívar's dream of American unity was meant to unify Hispanic American nations against external powers.",Answer the following question from the paragraph : Question: Who proposed the idea of an international union in the New World?,simon bolivar
"paragraph:  CHAPTER I \\ANDY AND HIS UNCLE \\""What be you a-goin' to do today, Andy?"" \\""I'm going to try my luck over to the Storburgh camp, Uncle Si. I hardly think Mr. Storburgh will have an opening for me, but it won't hurt to ask him."" \\""Did you try Sam Hickley, as I told you to?"" continued Josiah Graham, as he settled himself more comfortably before the open fireplace of the cabin. \\""Yes, but he said he had all the men he wanted."" Andy Graham gave something of a sigh. ""Seems to me there are more lumbermen in this part of Maine than there is lumber."" \\""Humph! I guess you ain't tried very hard to git work,"" grumbled the old man, drawing up his bootless feet on the rungs of his chair, and spreading out his hands to the generous blaze before him. ""Did you see them Plover brothers?"" \\""No, but Chet Greene did, day before yesterday, and they told him they were laying men off instead of taking 'em on."" \\""Humph! I guess thet Chet Greene don't want to work. He'd rather fool his time away in the woods, huntin' and fishin'."" \\""Chet is willing enough to work if he can get anything to do. And hunting pays, sometimes. Last week he got a fine deer and one of the rich hunters from Boston paid him a good price for it."" \\""Humph! Thet ain't as good as a stiddy, payin' job. I don't want you to be a-lazin' your time away in the woods,--I want you to grow up stiddy an' useful. Besides, we got to have money, if we want to live."" ",Answer the following question from the paragraph : Question: Who is Andy's Uncle?,Si
"paragraph:  The Most Honourable Order of the Bath (formerly the Most Honourable Military Order of the Bath) is a British order of chivalry founded by George I on 18 May 1725. The name derives from the elaborate medieval ceremony for appointing a knight, which involved bathing (as a symbol of purification) as one of its elements. The knights so created were known as ""Knights of the Bath"". George I ""erected the Knights of the Bath into a regular Military Order"". He did not (as is commonly believed) revive the Order of the Bath, since it had never previously existed as an Order, in the sense of a body of knights who were governed by a set of statutes and whose numbers were replenished when vacancies occurred. \\The Order consists of the Sovereign (currently Queen Elizabeth II), the (currently The Prince of Wales), and three Classes of members: Members belong to either the Civil or the Military Division. Prior to 1815, the order had only a single class, Knight Companion (KB), which no longer exists. Recipients of the Order are now usually senior military officers or senior civil servants. Commonwealth citizens who are not subjects of the Queen and foreign nationals may be made Honorary Members.",Answer the following question from the paragraph : Question: what were created knights known as?,"""Knights of the Bath"""
"paragraph:  CHAPTER FORTY-FIVE \\IN WHICH TOM PINCH AND HIS SISTER TAKE A LITTLE PLEASURE; BUT QUITE IN A DOMESTIC WAY, AND WITH NO CEREMONY ABOUT IT \\Tom Pinch and his sister having to part, for the dispatch of the morning's business, immediately after the dispersion of the other actors in the scene upon the wharf with which the reader has been already made acquainted, had no opportunity of discussing the subject at that time. But Tom, in his solitary office, and Ruth, in the triangular parlour, thought about nothing else all day; and, when their hour of meeting in the afternoon approached, they were very full of it, to be sure. \\There was a little plot between them, that Tom should always come out of the Temple by one way; and that was past the fountain. Coming through Fountain Court, he was just to glance down the steps leading into Garden Court, and to look once all round him; and if Ruth had come to meet him, there he would see her; not sauntering, you understand (on account of the clerks), but coming briskly up, with the best little laugh upon her face that ever played in opposition to the fountain, and beat it all to nothing. For, fifty to one, Tom had been looking for her in the wrong direction, and had quite given her up, while she had been tripping towards him from the first; jingling that little reticule of hers (with all the keys in it) to attract his wandering observation. ",Answer the following question from the paragraph : Question: For what purpose?,to attract his wandering observation
"paragraph:  CHAPTER XI. \\Ike Watson's Arrival \\Let us go back to Allen. \\We left him just as the sound made by Paul's horse aroused the leader of the horse thieves, whose full name was Saul Mangle. \\""The feller that went over into the river, as sure as fate!"" burst from the lips of Mangle, and he started back in astonishment. \\""Impossible!"" cried Darry, the second man. ""That feller must have been killed!"" \\""See for yourself."" \\With these words Saul Mangle sprang forward to stop Allen, who was about to mount Jasper. He reached the young man's side as Allen gained the saddle. \\""Come down out of that!"" he cried, roughly. \\""Not much!"" returned the young man. ""Clear the track, unless you want to be run down!"" \\He urged the horse forward. Jasper started, but ere he had taken three steps, Mangle caught him by the bridle. \\""Whoa!"" he cried. ""Whoa, I say!"" \\""Let the horse go, do you hear?"" ejaculated Allen, sharply. \\""I won't do it! Darry! Jeff! Come here, why don't you?"" \\The others leaped into the brush. Allen saw that affairs were turning against him. He leaned forward to Jasper's neck. \\Smack! Mangle caught a sharp blow full across his mouth. It came so quickly that he staggered back and his hold was loosened. \\""On, Jasper, on, my boy!"" cried Allen, slapping the animal with his palm. ""Come, Rush! Come, Rush!"" he added to Chet's horse, which stood close beside. \\Off went Jasper with a bound, and Rush followed at his heels. ",Answer the following question from the paragraph : Question: What did he cry when he grabbed the horse?,Whoa!
"paragraph:  Vancouver is a coastal seaport city in Canada, located in the Lower Mainland region of British Columbia. As the most populous city in the province, the 2016 census recorded 631,486 people in the city, up from 603,502 in 2011. The Greater Vancouver area had a population of 2,463,431 in 2016, making it the third-largest metropolitan area in Canada. Vancouver has the highest population density in Canada with over 5,400 people per square kilometre. With over 250,000 residents, Vancouver is the fourth-most densely populated city in North America behind New York City, San Francisco, and Mexico City according to the 2011 census. Vancouver is one of the most ethnically and linguistically diverse cities in Canada according to that census; 52% of its residents have a first language other than English. Vancouver is classed as a Beta global city. \\Vancouver is consistently named as one of the top five worldwide cities for livability and quality of life, and the Economist Intelligence Unit acknowledged it as the first city ranked among the top-ten of the world's most well-living cities for five consecutive years. Vancouver has hosted many international conferences and events, including the 1954 British Empire and Commonwealth Games, UN Habitat I, Expo 86, the World Police and Fire Games in 1989 and 2009; and the 2010 Winter Olympics and Paralympics which were held in Vancouver and Whistler, a resort community north of the city. In 2014, following thirty years in California, the TED conference made Vancouver its indefinite home. Several matches of the 2015 FIFA Women's World Cup were played in Vancouver, including the final at BC Place.",Answer the following question from the paragraph : Question: Is it a nice place to live?,yes
"paragraph:  (CNN) -- Robert Barchi believed he had much more important business to deal with at Rutgers, and in many ways, he's probably right. He is overseeing a massive merger between the university and the state's medical schools, one that will shape higher education in New Jersey for generations. \\But now there was an issue involving a videotape of his basketball coach. This was early December, just after Rutgers had received a much-celebrated invitation to the Big Ten Conference. The tape contained clips of Mike Rice throwing basketballs at his players, shoving them and cursing at them, and using a homophobic slur. \\When it was given to ESPN months later, it dominated the airwaves for a week and sparked a scandal that rocked the Rutgers athletic department and, for many alums, disgraced the school. \\The tape was toxic. The tape overshadowed everything Barchi was trying to accomplish on the New Brunswick, New Jersey, campus. But he never watched that tape until after it aired. \\""It was a revelation,"" Barchi said a few weeks later, ""that the intensity of the response, both within the community, within the state and nationally on this very important and very serious issue could totally swamp out all of the other issues we're trying to deal with and color everything else we're doing."" \\Revelation isn't the right word. Reality is. Barchi isn't the first university president -- and he won't be the last -- to learn how a scandal in college athletics can shape his administration or, for some, end it entirely. ",Answer the following question from the paragraph : Question: Was it a popular story?,Yes.
"paragraph:  CHAPTER XXIII \\DOWN THE STATEN ISLAND SHORE TO SANDY HOOK \\""Dick! Dick! What ails you?"" \\""My head, Sam! Arnold Baxter struck me down,"" came with a groan. \\""Can you get up? We want to follow them,"" cried Tom, as he caught his brother by the arm. He had just reached the factory on a dead run, lantern in hand, to find Dick. \\""I guess I can stand, Tom. But I can't run yet."" \\""Here, take the lantern and I'll carry you,"" came quickly, and in a moment more Tom Rover had Dick on his back and was running for the _Searchlight_ as rapidly as the nature of the meadow land permitted, Dick holding the light over his head so that both might see. \\The alarm had now become general, and by the time the yacht was gained two police officers, who had been on the hunt for harbor thieves, appeared. \\""What's the row about?"" demanded one of the officers of the law, as he came into view. \\""Is that an officer?"" questioned Dick feebly, \\""I am an officer--yes."" \\""We are after some thieves and some parties who have abducted a girl. Will you help us?"" \\""Certainly, if what you say is true. Where is the crowd?"" \\""They ran off in that direction,"" came from Sam, as he loomed up out of the darkness. ""They have a yacht out there somewhere."" \\""Then we can't catch them--unless we get a boat,"" answered Sergeant Brown. \\""We have a boat, out this way,"" and Sam pointed with his hand. ""But I guess we had better make certain that they go out first."" ",Answer the following question from the paragraph : Question: What drew them?,alarm
"paragraph:  (CNN) -- A Florida man charged with murder in the fatal shooting of a teenager amid an argument over loud music at a gas station pleaded not guilty Monday. \\Michael Dunn, 45, entered his plea during a hearing Monday morning at the Duval County, Florida, jail. \\Dunn told investigators he fired at a car in which Jordan Davis, 17, and three of his friends were sitting because he felt threatened by them. No guns were found inside the teens' car, the Jacksonville Sheriff's Office said. \\The case against Dunn, who has been jailed without bond since the November 26 shooting at the Jacksonville, Florida, gas station, has been compared to the ""stand your ground"" case in which George Zimmerman is charged with killing Trayvon Martin. \\Similar to Martin, Davis was an African-American teen. \\Dunn, indicted on a first-degree murder charge last Thursday, is no ""vigilante"" but did feel threatened and shot out of ""self-defense,"" his lawyer said two days after his arrest. \\""There are no comparisons to the Trayvon Martin situation,"" said Robin Lemonidis, Dunn's attorney. ""He is devastated and horrified by the death of the teen."" \\Dunn told authorities that he had asked the teens to turn down the blaring music coming from their vehicle, which was parked next to his as he waited for his girlfriend to return to the car. \\He heard threats from the teens, Dunn told police, and he felt threatened and thought he saw a gun in their car. He grabbed his gun and fired at least eight shots, authorities said. ","Answer the following question from the paragraph : Question: What did Robin Lemonidis, Michael Dunn's attorney, say about the case?",he is devastated and horrified by the death of the teen
"paragraph:  (CNN) -- Rosa Brooks says ""keep calm and shut the bleep up."" \\The witty Foreign Policy writer is sick of what she calls ""self-indulgent vicarious trauma"" following the blasts at the marathon finish line in Boston last week, which killed three people, injured more than 100 and set off a manhunt that left an MIT cop dead. \\""You don't need to keep changing your Facebook status to let us all know that you're still extremely shocked and sad about the Boston bombing,"" she wrote last week. ""Let's just stipulate that everyone is shocked and sad, except the perpetrators and some other scattered sociopaths."" \\CNN iReport: Run for Boston \\Part of me loves her piece. It's a worthy critique of the faux-concern and needless commercialism that can grow out of tragedy. But I think Brooks is selling people short by writing that ""there just isn't much most ordinary people should do in immediate response to events such as the Boston bombings."" \\There's plenty to do, as runners have shown in the week since the bombing. Within hours of the blasts, people all over the world were lacing up their running shoes and going outside to run. It's a simple, selfish act. Some did it to clear their heads. Others to process what had just happened to fellow runners and those cheering them on. I did it because I felt like I just needed to do something. And I feel all the more compelled to keep training because of inspirational stories like those of Adrianne Haslet-Davis, a dance instructor who lost her foot in the bombing but vows to dance and run again. ",Answer the following question from the paragraph : Question: did she talk about a social media site?,Yes
"paragraph:  A family of four went to the zoo today. The animal zoo they were going to had a bunch of different kinds of animals! The kids were so excited to go that they had almost forgot to bring their camera. They arrived to the zoo and the first thing they saw were the flamingos! They were so pretty and pink. They all stood around very silently and looked at the people. The next animal they saw were the lions. They were so scary looking that the kids were scared to walk close to the fence. After the lions were the giraffes. They were so tall, the kids had to lean all the way back to see them. The kids were hungry so they went to go eat lunch. The family had a bunch of food such as pizza, burgers, chicken fingers, and fries. After lunch, they went to see the monkeys. They were so loud and smelly. Some of the monkeys went right up to the glass to look at the people. The family took a break after seeing the monkeys as they were tired from all the walking. The park was so big that they had so many more animals to see! Their feet started hurting, so the family went to see a few more animals. They went home after a really fun day at the zoo. They had seen a lot of animals they never would have seen outside of the zoo. They loved the zoo so much they wanted to go back next week! The parents said they would come back soon to see how the animals were doing.",Answer the following question from the paragraph : Question: What did the kids need to do?,lean all the way back
"paragraph:  Hong Kong (CNN) -- An Australian teenager reported missing two months ago has been found alive in dense bushland not far from his home, local police say. \\Matthew Allen, 18, was last seen at his family home near Westleigh, a suburb about 30 kilometers (20 miles) away from Sydney, on November 27. \\Police feared the worst as the teen had not taken his mobile phone with him or accessed his bank accounts. \\More from CNN Justice: Three years later, no sign of missing family \\Extensive searches by police and emergency services failed to find him. \\On Saturday, two hikers told police that they had spotted a ""disorientated man"" in bushland not far from Westleigh. \\When rescuers reached Allen, he was in a bad way suffering from exhaustion and dehydration. \\Local media said he was emaciated, covered in leeches and mosquito bites and his feet and lower legs were suffering from gangrene. \\It was believed he had been in the bush the entire nine weeks he was missing, police said. \\More from CNN Justice: Casey Anthony files for bankruptcy \\''He was in such a poor state,'' Detective Acting Inspector Glyn Baker told the Sydney Morning Herald. \\''He was completely exhausted, completely dehydrated, suffered significant weight loss, somewhere up to 50%. He was suffering from partial blindness and he had leeches all over him.'' \\He was winched out by a rescue helicopter and taken to a nearby hospital, where he was reunited with his family. \\Allen went missing during a record heatwave when Sydney endured temperatures above 45 degrees Celsius. ",Answer the following question from the paragraph : Question: Was he in good shape when they found him?,no
"paragraph:  (CNN) -- He may not have started from the top of the mountain but it was still a dream downhill for Patrick Kueng as he skied to victory at the World Cup event in Wengen. \\The course at the Swiss Alpine resort is renowned as the longest downhill course on the World Cup calendar at 4.4 kilometers (2.12 miles) long but high winds Saturday meant the skiers had to start their runs lower down the slope. \\Victory still tasted sweet for Switzerland's Kueng, who beat Austrian Hannes Reichelt and Norwegian Aksel Lund Svindal with a time of one minute 32.66 seconds. \\""Since I was a kid, I've been watching this race,"" the 30-year-old told reporters. ""My first dream was to race it and my second dream was to win it. \\""In 2006 I had a terrible accident in which I broke one leg and broke the ankle in my other leg. I ended up in a wheelchair and my thoughts did turn to quitting. \\""It was a very tough time, but when I decided to continue, it was nothing but 100 per cent. Eventually I got a World Cup spot and now I'm here!"" \\Keung has never represented Switzerland at a Winter Olympics and is hoping that two World Cup victories this season will be enough to book his place on the plane to the Sochi Games next month. \\American Ted Ligety, a 2006 Olympic gold medallist in the combined, tuned up for his next tilt at the Games with a decisive victory in the super-combined in Wengen Friday. ",Answer the following question from the paragraph : Question: What happened to Patrick Keung in 2006 that almost made him quit skiing?,broke one leg and broke the ankle in my other leg
"paragraph:  CHAPTER XXII. \\Spectre though I be, I am not sent to scare thee or deceive; But in reward of thy fidelity. WORDSWORTH. \\It would be difficult to say which evinced the most satisfaction, when Mabel sprang to her feet and appeared in the centre of the room, our heroine, on finding that her visitor was the wife of Arrowhead, and not Arrowhead himself, or June, at discovering that her advice had been followed, and that the blockhouse contained the person she had so anxiously and almost hopelessly sought. They embraced each other, and the unsophisticated Tuscarora woman laughed in her sweet accents as she held her friend at arm's length, and made certain of her presence. \\""Blockhouse good,"" said the young Indian; ""got no scalp."" \\""It is indeed good, June,"" Mabel answered, with a shudder, veiling her eyes at the same time, as if to shut out a view of the horrors she had so lately witnessed. ""Tell me, for God's sake, if you know what has become of my dear uncle! I have looked in all directions without being able to see him."" \\""No here in blockhouse?"" June asked, with some curiosity. \\""Indeed he is not: I am quite alone in this place; Jennie, the woman who was with me, having rushed out to join her husband, and perishing for her imprudence."" \\""June know, June see; very bad, Arrowhead no feel for any wife; no feel for his own."" \\""Ah, June, your life, at least, is safe!"" \\""Don't know; Arrowhead kill me, if he know all."" ",Answer the following question from the paragraph : Question: Was she disappointed that it wasn't who she expected?,Mabel
"paragraph:  It was time for Jill to make her famous apple pie, out of the yellow apples that grew on her land. It was not time to pick the red cherries, or the orange oranges or even the green lettuce, but their nice colors made Jill happy. She would eat some of the pies, and give the rest of them away to her friends and family. She went out to her back yard where the apple trees were, and started picking. A few hours later, she had enough to make dozens of pies. She walked into the kitchen with her apples, and was all ready to start baking when she saw she was all out of flour. She would have to go to the store to get some, since you can't make a pie without flour. While she was at the store, she would also buy some cheese, bread, and milk. She did not need these to make pie, but she did need them to make her dinner. At the store Jill ran into her friends Bob and Steve and George, and told them she would make them all pies. After she had finished her shopping, Jill went to the library to get some books, to the car wash to wash her car, and to her mother's house to say hello. She went home after, and made her yummy pies.",Answer the following question from the paragraph : Question: How long did it take Jill to pick enough apples to make her pies?,a few hours
"paragraph:  Nitrogen is a chemical element with symbol N and atomic number 7. It was first discovered and isolated by Scottish physician Daniel Rutherford in 1772. Although Carl Wilhelm Scheele and Henry Cavendish had independently done so at about the same time, Rutherford is generally accorded the credit because his work was published first. The name ""nitrogen"" was suggested by Jean-Antoine-Claude Chaptal in 1790, when it was found that nitrogen was present in nitric acid and nitrates; this name derives from the Greek roots νἰτρον ""nitre"" and -γεννᾶν ""to form"". Antoine Lavoisier suggested instead the name azote, from the Greek άζωτικός ""no life"", as it is an asphyxiant gas; his name is instead used in many languages, such as French, Russian, and Turkish, and appears in the English names of some nitrogen compounds such as hydrazine, azides and azo compounds. \\Nitrogen is the lightest member of group 15 of the periodic table, often called the pnictogens. The name comes from the Greek πνίγειν ""to choke"", directly referencing nitrogen's asphyxiating properties. It is a common element in the universe, estimated at about seventh in total abundance in the Milky Way and the Solar System. At standard temperature and pressure, two atoms of the element bind to form dinitrogen, a colourless and odorless diatomic gas with the formula N. Dinitrogen forms about 78% of Earth's atmosphere, making it the most abundant uncombined element. Nitrogen occurs in all organisms, primarily in amino acids (and thus proteins), in the nucleic acids (DNA and RNA) and in the energy transfer molecule adenosine triphosphate. The human body contains about 3% nitrogen by mass, the fourth most abundant element in the body after oxygen, carbon, and hydrogen. The nitrogen cycle describes movement of the element from the air, into the biosphere and organic compounds, then back into the atmosphere.",Answer the following question from the paragraph : Question: Where does the name pnictogens come from?,from the Greek
"paragraph:  CHAPTER V \\GETTING ACQUAINTED \\""Dick, we have made two enemies, that's sure,"" remarked Sam to his brother as they watched Flockley and Koswell depart. \\""It couldn't be helped if we have, Sam,"" was the reply. ""You are not sorry for what we did at the Sanderson house, are you?"" \\""Not in the least. What we should have done was to give those chaps a sound thrashing."" \\""They seem to have a number of friends here. Probably they will do all they can to make life at this college miserable for us."" \\""Well, if they do too much, I reckon we can do something too."" \\Some new students had been standing at a distance watching the scene described in the last chapter. Now one of them approached and nodded pleasantly. \\""Freshmen?"" he asked. \\""Yes,"" answered both of the Rovers. \\""So am I. My name is Stanley Browne. What's yours?"" \\""Dick Rover, and this is my brother Sam."" \\""Oh, are you Dick Rover? I've heard about you. My cousin knows you real well."" \\""Who is your cousin?"" \\""Larry Colby."" \\""Larry!"" cried Dick. ""Well, I guess he does know us well. We've had some great times together at Putnam Hall and elsewhere. So you are Larry's cousin? I am real glad to know you."" And Dick held out his hand. \\""Larry is one of our best chums,"" said Sam, also shaking hands. ""I remember now that he has spoken of you. I am glad to know somebody at this place."" And Sam smiled broadly. Soon all three of the boys were on good terms, and Stanley Browne told the Rovers something about himself. ",Answer the following question from the paragraph : Question: Is he just a distant acquaintance?,no
"paragraph:  (CNN) -- Chris Froome conquered Mont Ventoux at the Tour de France to extend his overall lead with a week remaining in cycling's most prestigious race. \\In a fascinating battle Sunday, Team Sky's Froome caught and then passed Nairo Quintana during the steep 13-mile climb to give him a four-minute cushion over his nearest rivals. \\A spent Froome had to be given oxygen when the 15th stage -- the longest of this year's Tour at 150 miles -- ended but he'll get a chance to recover during Monday's day off. \\On Bastille Day French hopes were dashed, as Sylvain Chavanel lost his lead to Movistar's Quintana before the Colombian faded and Froome charged. \\""I thought he'd be less strong than he was,"" Quintana told the Tour's website. \\Froome has now won both stages with summit finishes. \\""I didn't expect to win,"" Britain's Froome said after nearly six hours of racing. ""I wanted to get more of a buffer on the general classification but I didn't think I could go for the win. \\""Quintana is a very strong climber and I wasn't expecting him to go from as far as he did but hats off to him. He did a great ride and he showed how strong he is."" \\Despite the gruelling end to the stage, Froome and Quintana -- one to watch for the future -- had time for a quick chat. \\""In the last (1.2 miles) he was fading a little and I still had a little bit left,"" said Froome. ""I was just trying to say, 'Man, come on just a little bit more, we're almost there.' But he was slipping behind. ",Answer the following question from the paragraph : Question: Who did the leader fight for 1st place?,Quintana
"paragraph:  (CNN) -- Patti LaBelle has agreed to pay $100,000 to settle a complaint that she verbally and physically assaulted a mother and her 18-month-old daughter in a Manhattan apartment lobby two years ago, the mother's lawyer said Wednesday. \\The agreement ends a lawsuit that accused the singer of ""yelling, screaming obscenities, throwing water and drenching with water, attempting to strike and physically injure"" Roseanna Monk and her child, Genevieve, in the lobby of Trump Place on Manhattan's Upper West Side on November 11, 2010. \\LaBelle, her lawyer and representative did not immediately respond to CNN requests for comment on the settlement filed in a federal court in New York. \\A jury trial had been scheduled for late November, but U.S. District Judge John Koeltl signed an order dismissing the case at the request of each side Wednesday morning. \\LaBelle, who lived in the same apartment building as the Monks at the time, denied the allegations in her initial response to the lawsuit last December, according to court documents. \\Read more entertainment news on CNN's Marquee Blog \\Monk's lawyer, Samuel Davis, told CNN Wednesday that it ""took a bunch of depositions"" before LaBelle ""recognized that she was going to have to face the music."" \\The singer apparently was upset because she thought the child was wandering around the lobby unattended, Davis said. \\""LaBelle besieged them with such ferocity, before she doused them with water, that the baby was crying hysterically,"" Davis said. ""LaBelle would not desist."" \\Davis called the incident violent and traumatic. ""The baby went from crying hysterically to vomiting,"" he said. ",Answer the following question from the paragraph : Question: Where?,the lobby
"paragraph:  Two years into the Syrian conflict, President Obama has decided it's finally time to explain it to the American people in a speech he will give from the Oval Office on Tuesday. But from the beginning, President Obama's strategy in Syria -- if he ever had one -- has been confused. \\Years of dithering, red lines that went unanswered, and a failure to persuade our international allies and the American public to get on board with the president's nonplan plan, has resulted, not surprisingly, in a confused Congress. \\On the Republican side, Sen. John McCain was against the president's plan for limited intervention but on Wednesday changed his mind. Sen. Marco Rubio was for intervention in Syria for the past two years, but he cannot support Obama's plan for military strikes. \\On the Democratic side, many who have previously defended Obama's foreign policy as somehow morally superior to his predecessor for its caution and thoughtfulness now seem delighted to support his new war in Syria. Then there are Democrats who seem a little less fuzzy on their long-held principles and do not support intervening in Syria. \\Obama's own administration seems confused as well. Secretary of State John Kerry has had to backpedal more than once after contradicting official policy in Syria, which is admittedly hard to discern. \\Even Gen. Martin Dempsey, chairman of the Joint Chiefs of Staff, has been an awkward spokesman, spending the better part of the past year telling Congress that Syrian intervention was unwise. As Eli Lake, a correspondent for the Daily Beast puts it, ""On Tuesday, Dempsey was not much more helpful for the president's case for war in the Senate. He contradicted President Obama's contention from Saturday that delays would not affect the Syria war plan, confirming the Syrian military was adjusting to press leaks about an early plan."" ",Answer the following question from the paragraph : Question: Has Kerry had to change his story?,Yes
"paragraph:  SHANGHAI, China (CNN) -- If it weren't for the Internet, Murong Xuecun might still be working as a sales manager at a car company in the southern Chinese city of Chengdu. That is what he was doing when he started writing his first novel on his office's online bulletin board system back in 2001. \\The Internet is increasingly being seen in China as a tool for literary empowerment, analysts say. \\Week by week when he got home from work, Murong would post new pieces to a story that painted a bleak yet honest picture of modern urban life in the city where he lived. It contained tales about sex, love, gambling and drugs and became so popular that it soon appeared on numerous other online forums. \\Today the 35-year-old is considered one of the most famous authors to have emerged in contemporary China. His debut work, ""Leave Me Alone: A novel of Chengdu,"" has been read by millions of Chinese ""netizens"" -- steady Internet users -- and adapted for film and television and translated into German, French and English. \\He also is viewed as a pioneer of what has become nothing short of a literary renaissance online in the country, particularly among young Chinese writers. This is a constituency that has struggled to find a platform for their work in a publishing industry that is viewed as conservative as it often faces state censorship. Instead of remaining silent, a new generation of authors has found its voice on the Web. \\""It is a very big revolution,"" said Yang Hengjun, a political espionage novelist who published his first work online. ""When you write something on the Internet that you can't do in reality and you cause a change, that is revolutionary."" ",Answer the following question from the paragraph : Question: what about for movies?,yes
"paragraph:  Venezuela, officially the Bolivarian Republic of Venezuela (), is a federal republic located on the northern coast of South America. It is bordered by Colombia on the west, Brazil on the south, Guyana on the east, the Dutch Caribbean ABC islands to the north and the islands of Trinidad and Tobago to the north-east. Venezuela covers and has over 31 million (31,775,371) people. The country has extremely high biodiversity (ranked 7th in the world's list of nations with the most number of species), with habitats ranging from the Andes Mountains in the west to the Amazon Basin rain-forest in the south, via extensive ""llanos"" plains and Caribbean coast in the center and the Orinoco River Delta in the east. \\The territory now known as Venezuela was colonized by Spain in 1522 amid resistance from indigenous peoples. In 1811, it became one of the first Spanish-American territories to declare independence, which was not securely established until 1821, when Venezuela was a department of the federal republic of Gran Colombia. It gained full independence as a separate country in 1830. During the 19th century, Venezuela suffered political turmoil and autocracy, remaining dominated by regional ""caudillos"" (military strongmen) until the mid-20th century. Since 1958, the country has had a series of democratic governments. Economic shocks in the 1980s and 1990s led to several political crises, including the deadly Caracazo riots of 1989, two attempted coups in 1992, and the impeachment of President Carlos Andrés Pérez for embezzlement of public funds in 1993. A collapse in confidence in the existing parties saw the 1998 election of former coup-involved career officer Hugo Chávez and the launch of the Bolivarian Revolution, beginning with a 1999 Constituent Assembly to write a new Constitution of Venezuela. This new constitution officially changed the name of the country to ""República Bolivariana de Venezuela"" (Bolivarian Republic of Venezuela).",Answer the following question from the paragraph : Question: What was the official name change in the new constitution?,Bolivarian Republic of Venezuela
"paragraph:  My heart went out to Barb Dunn the moment her 16-year-old son, Daniel, answered my question. \\Once he gets his license in June, would he text and drive? That's what I asked during a kitchen table conversation in their Roxbury, New Jersey, home. \\As you can see in the video above, his answer was not the one his mom expected. \\""I'm taking a deep breath,"" said Dunn, who recently purchased visor clips for Daniel's friends who have already gotten their licenses that say ""Stay alive. Don't text and drive."" \\""I wouldn't even mind if he said, 'I'm at a red light and I picked up the phone for a minute to read something and put it back down,' but that moving and texting freaks me out. It's not acceptable."" \\Daniel's mom might have wanted to slam her head against the counter but still she told me she appreciated her son's candor and realized in that moment how difficult it is to persuade teens, who text nearly all day long, not to do it while behind the wheel. \\""Even a well-meaning teen is going to have trouble saying no when they get that buzz"" from an incoming text or status update, said David Teater, senior director for the National Safety Council. ""It's almost a Pavlovian response."" \\Teater sadly knows all too well what can go wrong with distracted driving. Ten years ago, a 20-year-old woman who had been talking on a cell phone ran a red light and killed his then 12-year-old son, Joe. Since then, he's dedicated his life to raising awareness about the dangers of talking on a cell phone while behind the wheel. A newer concern: how to eliminate driving while texting. ",Answer the following question from the paragraph : Question: What did Barb Dunn do when she heard her son's answer to the question about texting and driving?,"my heart went out to barb dunn the moment her 16 - year - old son , daniel , answered my question . once he gets his license in june , would he text and drive ? that ' s what i asked during a kitchen table conversation in their roxbury , new jersey , home . as you can see in the video above , his answer was not the one his mom expected . "" i ' m taking a deep breath"
